4.2 2 0.5
11.5 2 0.5
7.3 2 0.5
5.8 2 0.5
6.4 2 0.5
10 2 0.5
11.2 2 0.5
11.2 2 0.5
5.2 2 0.5
7 2 0.5
16.5 2 1
16.5 2 1
15.2 2 1
17.3 2 1
22.5 2 1
17.3 2 1
13.6 2 1
14.5 2 1
18.8 2 1
15.5 2 1
23.6 2 2
18.5 2 2
33.9 2 2
25.5 2 2
26.4 2 2
32.5 2 2
26.7 2 2
21.5 2 2
23.3 2 2
29.5 2 2
15.2 1 0.5
21.5 1 0.5
17.6 1 0.5
9.7 1 0.5
14.5 1 0.5
10 1 0.5
8.2 1 0.5
9.4 1 0.5
16.5 1 0.5
9.7 1 0.5
19.7 1 1
23.3 1 1
23.6 1 1
26.4 1 1
20 1 1
25.2 1 1
25.8 1 1
21.2 1 1
14.5 1 1
27.3 1 1
25.5 1 2
26.4 1 2
22.4 1 2
24.5 1 2
24.8 1 2
30.9 1 2
26.4 1 2
27.3 1 2
29.4 1 2
23 1 2
